                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.1055,                 1.8536,                 1.1713,                0.47828,                0.70726,                0.59057,                0.40131,                 1.1667,                  1.872,                 1.2229,              0.0091833,              0.0091833,              0.0091833
                     35,                 1.0425,                 1.8872,                 1.2013,                0.56293,                0.67956,                0.68144,                0.46024,                   1.11,                 1.6999,                 1.2108,              0.0091585,              0.0091585,              0.0091585
                     36,                 1.2026,                 1.7846,                 1.2653,                0.48345,                0.68916,                0.59167,                0.38042,                 1.2026,                 2.0101,                 1.2592,              0.0091337,              0.0091337,              0.0091337
                     37,                 1.1124,                 1.8975,                 1.1977,                0.56469,                0.67799,                0.66995,                 0.4583,                 1.0836,                  1.698,                 1.1977,               0.009109,               0.009109,               0.009109
                     38,                 1.2118,                 1.8921,                 1.2775,                0.61491,                0.72807,                0.71189,                0.50129,                 1.1055,                 1.6464,                 1.1765,              0.0090843,              0.0090843,              0.0090843
                     39,                 1.1702,                 1.7175,                 1.2222,                0.52489,                0.74458,                0.65019,                0.47067,                 1.0338,                 1.6185,                 1.1547,              0.0090595,              0.0090595,              0.0090595
                     40,                 1.0585,                 1.6778,                 1.2069,                0.55741,                0.71632,                0.65419,                0.46668,                 1.1183,                 1.6109,                 1.1866,              0.0090347,              0.0090347,              0.0090347
                     41,                 1.1258,                 1.7134,                 1.2187,                0.52317,                0.67337,                0.61458,                0.43063,                 1.1094,                 1.8956,                 1.1857,                0.00901,                0.00901,                0.00901
                     42,                 1.0943,                 1.6943,                  1.219,                0.57685,                0.60219,                0.59831,                0.40371,                  1.137,                 1.8651,                 1.2133,              0.0089853,              0.0089853,              0.0089853
                     43,                 1.0685,                 1.7486,                 1.2186,                0.64418,                 0.6614,                0.71847,                0.52057,                 1.0195,                 1.5347,                 1.1789,              0.0089605,              0.0089605,              0.0089605
                     44,                  1.027,                 1.4905,                 1.2363,                0.60711,                0.71808,                0.74461,                0.49734,                 1.2216,                 1.5998,                 1.3068,              0.0089358,              0.0089358,              0.0089358
